stockid,year,season,bookvalue,eps1,eps2,eps_grate,ROE
1713,2013,1,14.76,0.08,0.05,0.6,0.005449591280653951
1713,2013,2,14.45,0.14,0.21,-0.33333333333333326,0.009783368273934313
1713,2013,3,14.58,0.12,0.06,1,0.008298755186721992
1713,2013,4,14.82,0.17,0.2,-0.15,0.011604095563139932
1713,2014,1,14.93,0.11,0.08,0.375,0.007422402159244264
1713,2014,2,14.6,0.15,0.14,0.07142857142857129,0.010380622837370242
1713,2014,3,14.76,0.16,0.12,0.3333333333333334,0.010958904109589041
1713,2014,4,14.94,0.19,0.17,0.11764705882352934,0.01288135593220339
1713,2015,1,15.05,0.12,0.11,0.09090909090909087,0.008037508372404554
1714,2007,1,10.43,0.13,-0.14,-1.9285714285714286,0.012621359223300972
1714,2007,2,10.72,0.22,-0.35,-1.6285714285714286,0.02095238095238095
1714,2007,3,10.74,0.06,0.73,-0.9178082191780821,0.0056179775280898875
1714,2007,4,10.28,-0.33,0.1,-4.3,-0.031102733270499533
1714,2008,1,10.29,0.21,0.13,0.6153846153846153,0.020833333333333336
1714,2008,2,10.94,0.58,0.22,1.6363636363636362,0.055984555984555984
1714,2008,3,11.7,0.62,0.06,9.333333333333334,0.05595667870036101
1714,2008,4,11.44,-0.48,-0.33,0.4545454545454544,-0.040268456375838924
1714,2009,1,12.17,0.38,0.21,0.8095238095238096,0.03223070398642918
1714,2009,2,12.69,0.64,0.58,0.10344827586206906,0.05311203319502075
1714,2009,3,12.36,0.39,0.62,-0.3709677419354838,0.03258145363408522
1714,2009,4,12.83,0.34,-0.48,-1.7083333333333335,0.02722177742193755
1714,2010,1,13.1,0.39,0.38,0.026315789473684233,0.030684500393391035
1714,2010,2,13.64,0.46,0.64,-0.28125,0.03490136570561457
1714,2010,3,14.03,0.38,0.39,-0.025641025641025664,0.02783882783882784
1714,2010,4,12.46,0.51,0.34,0.49999999999999994,0.042677824267782424
1714,2011,1,12.99,0.4,0.39,0.025641025641025664,0.03177124702144559
1714,2011,2,13.44,0.51,0.46,0.10869565217391301,0.03944315545243619
1714,2011,3,12.99,0.32,0.38,-0.15789473684210525,0.025256511444356748
1714,2011,4,13.31,0.3,0.51,-0.411764705882353,0.023059185242121444
1714,2012,1,13.63,0.35,0.4,-0.1250000000000001,0.026355421686746983
1714,2012,2,13.74,0.25,0.51,-0.5098039215686274,0.018532246108228317
1714,2012,3,12.3,0.09,0.32,-0.71875,0.00737100737100737
